name,url
New Wash Method for All Hair Types,https://hairstory.com/products/new-wash-method-all-hair-types
New Wash Original,https://hairstory.com/products/new-wash-original
New Wash Original 8oz Refill,https://hairstory.com/products/new-wash-original-8-oz
Pre-Wash,https://hairstory.com/products/pre-wash-4-oz
Primer,https://hairstory.com/products/primer-8-oz
New Wash Deep Clean,https://hairstory.com/products/new-wash-deep-clean
Bond Boost for New Wash,https://hairstory.com/products/bond-boost-1-pack
Bond Serum,https://hairstory.com/products/bond-serum-2-oz
New Wash Rich 8oz Refill,https://hairstory.com/products/new-wash-rich-8-oz
New Wash Deep Clean 8oz Refill,https://hairstory.com/products/new-wash-deep-8-oz
New Wash Original Trial Kit,https://hairstory.com/products/new-wash-original-trial-kit
Hair Balm,https://hairstory.com/products/hair-balm-4-oz
Oil,https://hairstory.com/products/hair-oil-2-oz-refill
Undressed,https://hairstory.com/products/undressed-8-oz
Powder,https://hairstory.com/products/powder
New Wash Rich,https://hairstory.com/products/new-wash-rich
Root Lift,https://hairstory.com/products/lift-8-oz
Wax,https://hairstory.com/products/wax-2-oz
Purple Color Boost,https://hairstory.com/products/purple-color-boost-1-pack
Blue Color Boost,https://hairstory.com/products/blue-color-boost-1-pack
Red Color Boost,https://hairstory.com/products/red-color-boost-1-pack
New Wash Method for Oily Hair,https://hairstory.com/products/new-wash-method-oily-hair
New Wash Method for Dry Hair,https://hairstory.com/products/new-wash-method-dry-hair
Care and Texture Set,https://hairstory.com/products/care-texture-set
Massaging Scalp Brush,https://hairstory.com/products/massaging-scalp-brush
Travel Bottle,https://hairstory.com/products/travel-bottle-3-oz
Damage Repair Method,https://hairstory.com/products/damage-repair-method
Richest Damage Repair Method,https://hairstory.com/products/richest-damage-repair-method
Healthiest Hair Method,https://hairstory.com/products/healthiest-hair-method
Richest Hair Method,https://hairstory.com/products/richest-hair-method
Clarifying Hair Method,https://hairstory.com/products/clarifying-hair-method
Pre-Wash,https://hairstory.com/products/pre-wash-8-oz
New Wash Dispenser with Pump,https://hairstory.com/products/new-wash-dispenser-32-oz
